document,topic,gamma
text47,5,0.02727272727272727
text47,6,0.08181818181818182
text47,7,0.3781818181818182
text47,8,0.02727272727272727
text47,9,0.01818181818181818
text47,10,0.02727272727272727
text48,1,0.5676470588235294
text48,2,0.1161764705882353
text48,3,0.05588235294117647
text48,4,0.01764705882352941
text48,5,0.07205882352941176
text48,6,0.03823529411764706
text48,7,0.051470588235294115
text48,8,0.03529411764705882
text48,9,0.025
text48,10,0.020588235294117647
text49,1,0.09463276836158192
text49,2,0.19350282485875706
text49,3,0.17231638418079095
text49,4,0.07627118644067797
text49,5,0.043785310734463276
text49,6,0.03248587570621469
text49,7,0.1483050847457627
text49,8,0.13135593220338984
text49,9,0.03389830508474576
text49,10,0.07344632768361582
text50,1,0.06549707602339182
text50,2,0.02456140350877193
text50,3,0.07017543859649122
text50,4,0.5274853801169591
text50,5,0.056140350877192984
text50,6,0.02456140350877193
text50,7,0.026900584795321637
text50,8,0.10409356725146199
text50,9,0.03508771929824561
text50,10,0.06549707602339182
text51,1,0.02976190476190476
text51,2,0.03869047619047619
text51,3,0.09895833333333333
text51,4,0.4836309523809524
text51,5,0.03869047619047619
text51,6,0.026041666666666668
text51,7,0.047619047619047616
text51,8,0.05282738095238095
text51,9,0.10119047619047619
text51,10,0.08258928571428571
text52,1,0.046875
text52,2,0.03125
text52,3,0.115234375
text52,4,0.18359375
text52,5,0.060546875
text52,6,0.02734375
text52,7,0.05078125
text52,8,0.03515625
text52,9,0.369140625
text52,10,0.080078125
text53,1,0.044169611307420496
text53,2,0.024734982332155476
text53,3,0.06007067137809187
text53,4,0.06007067137809187
text53,5,0.038869257950530034
text53,6,0.0989399293286219
text53,7,0.12367491166077739
text53,8,0.08833922261484099
text53,9,0.41872791519434627
text53,10,0.04240282685512368
text54,1,0.04496124031007752
text54,2,0.043410852713178294
text54,3,0.09767441860465116
text54,4,0.13333333333333333
text54,5,0.16124031007751938
text54,6,0.05581395348837209
text54,7,0.03565891472868217
text54,8,0.05116279069767442
text54,9,0.33178294573643413
text54,10,0.04496124031007752
text55,1,0.059282371294851796
text55,2,0.0124804992199688
text55,3,0.11076443057722309
text55,4,0.13260530421216848
text55,5,0.060842433697347896
text55,6,0.0343213728549142
text55,7,0.059282371294851796
text55,8,0.059282371294851796
text55,9,0.3291731669266771
text55,10,0.1419656786271451
text56,1,0.01818181818181818
text56,2,0.013636363636363636
text56,3,0.019318181818181818
text56,4,0.0375
text56,5,0.017045454545454544
text56,6,0.007954545454545454
text56,7,0.011363636363636364
text56,8,0.006818181818181818
text56,9,0.014772727272727272
text56,10,0.8534090909090909
text57,1,0.02021276595744681
text57,2,0.007446808510638298
text57,3,0.01702127659574468
text57,4,0.1127659574468085
text57,5,0.018085106382978722
text57,6,0.010638297872340425
text57,7,0.00851063829787234
text57,8,0.00851063829787234
text57,9,0.009574468085106383
text57,10,0.7872340425531915
text58,1,0.052126200274348423
text58,2,0.01646090534979424
text58,3,0.04801097393689986
text58,4,0.15637860082304528
text58,5,0.4787379972565158
text58,6,0.04663923182441701
text58,7,0.019204389574759947
text58,8,0.06035665294924554
text58,9,0.056241426611796985
text58,10,0.06584362139917696
text59,1,0.05823293172690763
text59,2,0.040160642570281124
text59,3,0.1686746987951807
text59,4,0.1746987951807229
text59,5,0.11044176706827309
text59,6,0.15863453815261044
text59,7,0.04417670682730924
text59,8,0.0642570281124498
text59,9,0.12048192771084337
text59,10,0.060240963855421686
text60,1,0.01873536299765808
text60,2,0.0351288056206089
text60,3,0.03044496487119438
text60,4,0.3185011709601874
text60,5,0.02810304449648712
text60,6,0.15456674473067916
text60,7,0.04449648711943794
text60,8,0.0351288056206089
text60,9,0.0468384074941452
text60,10,0.28805620608899296
text61,1,0.07565337001375516
text61,2,0.037138927097661624
text61,3,0.10591471801925723
text61,4,0.36176066024759285
text61,5,0.1155433287482806
text61,6,0.037138927097661624
text61,7,0.039889958734525444
text61,8,0.059147180192572216
text61,9,0.12104539202200826
text61,10,0.04676753782668501
text62,1,0.014120667522464698
text62,2,0.01797175866495507
text62,3,0.05006418485237484
text62,4,0.46084724005134786
text62,5,0.024390243902439025
text62,6,0.13735558408215662
text62,7,0.019255455712451863
text62,8,0.03465982028241335
text62,9,0.07188703465982028
text62,10,0.16944801026957637
text63,1,0.059907834101382486
text63,2,0.026113671274961597
text63,3,0.09370199692780339
text63,4,0.5176651305683564
text63,5,0.055299539170506916
text63,6,0.059907834101382486
text63,7,0.01228878648233487
text63,8,0.03225806451612903
text63,9,0.013824884792626729
text63,10,0.12903225806451613
text64,1,0.031914893617021274
text64,2,0.03546099290780142
text64,3,0.0425531914893617
text64,4,0.49645390070921985
text64,5,0.05319148936170213
text64,6,0.06028368794326241
text64,7,0.03900709219858156
text64,8,0.05673758865248227
text64,9,0.0673758865248227
text64,10,0.11702127659574468
text65,1,0.020833333333333332
text65,2,0.034722222222222224
text65,3,0.015046296296296295
text65,4,0.24189814814814814
text65,5,0.20717592592592593
text65,6,0.03009259259259259
text65,7,0.09490740740740741
